stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,stop_access
3769,3769,Mama ji Dhaba,Mama ji Dhaba,,22.6319,75.80839,,,0,,Asia/Kolkata,0,,,
3770,3770,Bijalpur,Bijalpur,,22.67169,75.83487,,,0,,Asia/Kolkata,0,,,
3772,3772,Gareeb Nawaj Colony,Gareeb Nawaj Colony,,22.73756,75.82684,,,0,,Asia/Kolkata,0,,,
3773,3773,Rau Bus Stand,Rau Bus Stand,,22.63663,75.8106,,,0,,Asia/Kolkata,0,,,
3774,3774,Rajendra Nagar,Rajendra Nagar,,22.67021,75.83235,,,0,,Asia/Kolkata,0,,,
3777,3777,Isha Avenue Gate,Isha Avenue Gate,,22.73633,75.82843,,,0,,Asia/Kolkata,0,,,
3778,3778,Durga Nagar,Durga Nagar,,22.66531,75.82676,,,0,,Asia/Kolkata,0,,,
3779,3779,Rau Petrol Pump,Rau Petrol Pump,,22.63865,75.81401,,,0,,Asia/Kolkata,0,,,
3780,3780,Shramik Colony/Jivan Jyoti,Shramik Colony/Jivan Jyoti,,22.64311,75.8175,,,0,,Asia/Kolkata,0,,,
3781,3781,Shrinath Colony,Shrinath Colony,,22.73512,75.83015,,,0,,Asia/Kolkata,0,,,
3782,3782,Reti Mandi2,Reti Mandi2,,22.66232,75.82524,,,0,,Asia/Kolkata,0,,,
3783,3783,Silicon City,Silicon City,,22.64597,75.8276,,,0,,Asia/Kolkata,0,,,
3785,3785,IPS,IPS,,22.65582,75.82297,,,0,,Asia/Kolkata,0,,,
3786,3786,Sangam Nagar Road,Sangam Nagar Road,,22.73428,75.83147,,,0,,Asia/Kolkata,0,,,
3788,3788,Gamla Pulia,Gamla Pulia,,22.65906,75.82423,,,0,,Asia/Kolkata,0,,,
3789,3789,Hammal Colony,Hammal Colony,,22.73287,75.83338,,,0,,Asia/Kolkata,0,,,
3790,3790,Laxmibai Mandi,Laxmibai Mandi,,22.72989,75.8374,,,0,,Asia/Kolkata,0,,,
3791,3791,Indore Wire Factory,Indore Wire Factory,,22.72694,75.84163,,,0,,Asia/Kolkata,0,,,
3793,3793,Jinsi Square,Jinsi Square,,22.72288,75.84609,,,0,,Asia/Kolkata,0,,,
3794,3794,Kandilpura,Kandilpura,,22.72283,75.8433,,,0,,Asia/Kolkata,0,,,
3796,3796,Hardia Hospital,Hardia Hospital,,22.62713,75.80548,,,0,,Asia/Kolkata,0,,,
38,38,Rajiv Gandhi,Rajiv Gandhi,,22.68392,75.8582,,,0,,Asia/Kolkata,0,,,
3800,3800,Medicaps,Medicaps,,22.62063,75.801,,,0,,Asia/Kolkata,0,,,
3801,3801,Badaganpati,Badaganpati,,22.72056,75.84171,,,0,,Asia/Kolkata,0,,,
3803,3803,Antim Square,Antim Square,,22.71747,75.84085,,,0,,Asia/Kolkata,0,,,
3805,3805,Rajmohalla,Rajmohalla,,22.71519,75.84062,,,0,,Asia/Kolkata,0,,,
3808,3808,Gangwal Bus Stand,Gangwal Bus Stand,,22.71313,75.84063,,,0,,Asia/Kolkata,0,,,
3814,3814,Lal Baug_2,Lal Baug_2,,22.70536,75.84727,,,0,,Asia/Kolkata,0,,,
3816,3816,G.D.C College,G.D.C College,,22.70685,75.85,,,0,,Asia/Kolkata,0,,,
3818,3818,Collectorate,Collectorate,,22.70837,75.85452,,,0,,Asia/Kolkata,0,,,
3820,3820,Palsikar,Palsikar,,22.70692,75.85579,,,0,,Asia/Kolkata,0,,,
3822,3822,Prem Nagar,Prem Nagar,,22.70389,75.85541,,,0,,Asia/Kolkata,0,,,
3824,3824,Manik Baug,Manik Baug,,22.69758,75.85478,,,0,,Asia/Kolkata,0,,,
3826,3826,Saifi Nagar,Saifi Nagar,,22.69519,75.85495,,,0,,Asia/Kolkata,0,,,
3827,3827,Choithram Hospital,Choithram Hospital,,22.68828,75.85532,,,0,,Asia/Kolkata,0,,,
3828,3828,Choithram Mandi,Choithram Mandi,,22.68339,75.85544,,,0,,Asia/Kolkata,0,,,
3829,3829,Kila Maidan/Laxmi Bai Pratima,Kila Maidan/Laxmi Bai Pratima,,22.72607,75.84571,,,0,,Asia/Kolkata,0,,,
3833,3833,Lal Baug_1,Lal Baug_1,,22.70538,75.84605,,,0,,Asia/Kolkata,0,,,
3844,3844,Patel Bridge,Patel Bridge,,22.71506,75.87056,,,0,,Asia/Kolkata,0,,,
3846,3846,Abhinandan Pump,Abhinandan Pump,,22.69995,75.79824,,,0,,Asia/Kolkata,0,,,
3848,3848,Agrawal Tol Kanta,Agrawal Tol Kanta,,22.78167,75.90475,,,0,,Asia/Kolkata,0,,,
3849,3849,Ahilya Ashram,Ahilya Ashram,,22.73401,75.86032,,,0,,Asia/Kolkata,0,,,
3850,3850,Airport,Airport,,22.72978,75.81067,,,0,,Asia/Kolkata,0,,,
3851,3851,Airport Thana Stop,Airport Thana Stop,,22.72668,75.81635,,,0,,Asia/Kolkata,0,,,
3852,3852,Allahabad Bank/ Krishnapuri Colony,Allahabad Bank/ Krishnapuri Colony,,22.6901,75.89608,,,0,,Asia/Kolkata,0,,,
3856,3856,Anand Nagar,Anand Nagar,,22.72809,75.89452,,,0,,Asia/Kolkata,0,,,
3858,3858,Annapurna Mandir,Annapurna Mandir,,22.68935,75.83725,,,0,,Asia/Kolkata,0,,,
3859,3859,Annapurna Nagar,Annapurna Nagar,,22.68774,75.83683,,,0,,Asia/Kolkata,0,,,
3862,3862,Antim Chauraha,Antim Chauraha,,22.71787,75.84091,,,0,,Asia/Kolkata,0,,,
3863,3863,Arvindo,Arvindo,,22.79788,75.8473,,,0,,Asia/Kolkata,0,,,
3864,3864,Astha Anup/Anup Talkies,Astha Anup/Anup Talkies,,22.74385,75.88437,,,0,,Asia/Kolkata,0,,,
3865,3865,Azad Nagar,Azad Nagar,,22.70066,75.88506,,,0,,Asia/Kolkata,0,,,
3867,3867,B.C.M. Paradise,B.C.M. Paradise,,22.75223,75.92148,,,0,,Asia/Kolkata,0,,,
3868,3868,Badwani Plaza,Badwani Plaza,,22.72332,75.88849,,,0,,Asia/Kolkata,0,,,
3870,3870,Bakery Gali,Bakery Gali,,22.73647,75.87761,,,0,,Asia/Kolkata,0,,,
3871,3871,Zoo,Zoo,,22.70483,75.87799,,,0,,Asia/Kolkata,0,,,
3872,3872,Bangali Colony,Bangali Colony,,22.7193,75.90843,,,0,,Asia/Kolkata,0,,,
