route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,cars_allowed
5544,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5544,,5544,0,,5544,0,0,0
5545,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5545,,5545,0,,5545,0,0,0
5546,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5546,,5546,0,,5546,0,0,0
5547,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5547,,5547,0,,5547,0,0,0
5548,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5548,,5548,0,,5548,0,0,0
5549,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5549,,5549,0,,5549,0,0,0
5550,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5550,,5550,0,,5550,0,0,0
5551,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5551,,5551,0,,5551,0,0,0
5552,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5552,,5552,0,,5552,0,0,0
5553,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5553,,5553,0,,5553,0,0,0
5554,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5554,,5554,0,,5554,0,0,0
5555,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5555,,5555,0,,5555,0,0,0
5556,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5556,,5556,0,,5556,0,0,0
5557,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5557,,5557,0,,5557,0,0,0
5558,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5558,,5558,0,,5558,0,0,0
5564,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5564,,5564,0,,5564,0,0,0
5565,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5565,,5565,0,,5565,0,0,0
5568,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5568,,5568,0,,5568,0,0,0
5569,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5569,,5569,0,,5569,0,0,0
5580,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5580,,5580,0,,5580,0,0,0
5581,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5581,,5581,0,,5581,0,0,0
5583,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5583,,5583,0,,5583,0,0,0
5585,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5585,,5585,0,,5585,0,0,0
5586,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5586,,5586,0,,5586,0,0,0
5587,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5587,,5587,0,,5587,0,0,0
5588,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5588,,5588,0,,5588,0,0,0
5589,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5589,,5589,0,,5589,0,0,0
5591,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5591,,5591,0,,5591,0,0,0
5592,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5592,,5592,0,,5592,0,0,0
5593,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5593,,5593,0,,5593,0,0,0
5595,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5595,,5595,0,,5595,0,0,0
5596,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5596,,5596,0,,5596,0,0,0
5597,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5597,,5597,0,,5597,0,0,0
5598,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5598,,5598,0,,5598,0,0,0
5599,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5599,,5599,0,,5599,0,0,0
5600,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5600,,5600,0,,5600,0,0,0
5608,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5608,,5608,0,,5608,0,0,0
5609,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5609,,5609,0,,5609,0,0,0
5615,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5615,,5615,0,,5615,0,0,0
5616,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5616,,5616,0,,5616,0,0,0
5764,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5764,,5764,0,,5764,0,0,0
5765,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5765,,5765,0,,5765,0,0,0
5782,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5782,,5782,0,,5782,0,0,0
5798,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5798,,5798,0,,5798,0,0,0
5799,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5799,,5799,0,,5799,0,0,0
5800,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5800,,5800,0,,5800,0,0,0
5803,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5803,,5803,0,,5803,0,0,0
5805,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5805,,5805,0,,5805,0,0,0
5806,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5806,,5806,0,,5806,0,0,0
5807,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5807,,5807,0,,5807,0,0,0
5808,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5808,,5808,0,,5808,0,0,0
5809,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5809,,5809,0,,5809,0,0,0
5810,Mon-Tue-Wed-Thu-Fri-Sat-Sun,5810,,5810,0,,5810,0,0,0
